epoch,acc,loss,lr,val_acc,val_loss
0,0.36848008956507355,2.3718286165011713,1e-04,0.52891156269985,1.9624966707359366
1,0.599270889264977,1.7401328270046215,1e-04,0.6335227250714194,1.67543810186061
2,0.6388109908201557,1.555497378094171,1e-04,0.5664772707630288,1.7544663243673064
3,0.7033090280035674,1.3219404253676175,1e-04,0.6687499993226745,1.3881479545750401
4,0.7530846881585648,1.102885965443834,1e-04,0.7051136354831132,1.313087678768418
5,0.7905215928378028,0.9230626871829212,1e-04,0.6755681816149842,1.304908629710024
6,0.806926528440054,0.8301675574236617,1e-04,0.6772727251730182,1.3322578219527548
7,0.8416993839982783,0.6963126437171282,1e-04,0.7085227279500528,1.2075452801178803
8,0.8558609087147608,0.6117370225242598,1e-04,0.7147727292369712,1.1547709869390184
9,0.8815199125033714,0.5254440006251022,1e-04,0.7244318173690276,1.0823388428850607
10,0.8958216513801143,0.43328059998310087,1e-04,0.7352272724563426,1.0480273483829066
11,0.8968031428800295,0.42605094893287554,1e-04,0.7170454543422569,1.0852891581641002
12,0.9099831791386735,0.3641575399245095,1e-04,0.7073863637718287,1.1658254804258996
13,0.9266685405208098,0.29450032661762454,1e-04,0.7761363636363636,0.8937621651725336
14,0.9263881140389071,0.2870246964249294,1e-04,0.7221590897576375,1.0994867430491881
15,0.9294728029663484,0.280335096775048,1e-04,0.6727272700179707,1.355896274102005
16,0.9289119520083078,0.27632472871171243,1e-04,0.7585227290337736,0.961221520035443
17,0.9519069038344045,0.20327592466968836,1e-04,0.7653409070589325,0.9251684535633434
18,0.9489624276297586,0.19735529339667024,1e-04,0.7329545436934991,1.0954133557325059
19,0.9673303464658463,0.14165564542463904,1e-05,0.8005681814117865,0.8075972890481353
20,0.9803701662241711,0.1095608124489605,1e-05,0.8147727259180763,0.7566666483286429
21,0.9813516573563628,0.0991390304732911,1e-05,0.8159090928056023,0.7130462837151506
22,0.9805103789469665,0.098029224811079,1e-05,0.8198863611979919,0.7253967526622794
23,0.9866797555983903,0.07967594822537545,1e-05,0.8215909081426533,0.6968138421462341
24,0.9878014604228303,0.0780063000180149,1e-05,0.8301136352799156,0.6839066643437202
25,0.9868199686889092,0.0732432632245838,1e-05,0.8153409107164903,0.7406935685398903
26,0.9906057225006455,0.06464149266642279,1e-05,0.8335227281532505,0.6588704033500768
27,0.9896242310007302,0.06710792483685646,1e-05,0.823863636566834,0.7149140265431594
28,0.99046550920955,0.06379071339250313,1e-05,0.825568184188821,0.6962297995659438
29,0.9908861486148246,0.05653963653152402,1e-05,0.8272727259180762,0.6653034178455445
