epoch,acc,loss,lr,val_acc,val_loss
0,0.15745934081408527,2.8786035877095135,0.001,0.198979594877788,2.810487227375005
1,0.2151260530748287,2.646519263451841,0.001,0.08579545664516362,3.6338044253262605
2,0.24017406164646016,2.5551073474203987,0.001,0.09772727477618239,5.399722037532113
3,0.2662647243336353,2.4681125885305013,0.001,0.23465909304266627,2.721119809421626
4,0.29066180731146374,2.377035348454153,0.001,0.197159093381329,2.838596927577799
5,0.30818844781754995,2.3202432749048083,0.001,0.26761363881894135,2.5854853277856655
6,0.3201065628224722,2.257149333239805,0.001,0.34829545405439355,2.2545615429228003
7,0.3404374654523389,2.1999709737213955,0.001,0.19659091171554544,3.04052287042141
8,0.35025238372757406,2.144041453461532,0.001,0.28068181999366393,2.580383854562586
9,0.3771733029740818,2.073512173541396,0.001,0.1630681847306815,3.4118972594087773
10,0.3973639918364839,2.0087221475110186,0.001,0.38636363656683403,2.082613555680622
11,0.409422321005845,1.9795961083820277,0.001,0.4011363623663783,2.018808999522166
12,0.4344537803104946,1.900124224694837,0.001,0.35340908931737597,2.3515037948435005
13,0.4448343607513909,1.8479879255511666,0.001,0.4142045448449525,2.1211916063319554
14,0.466769487192239,1.7889082079781486,0.001,0.335795455341312,2.501166302507574
15,0.46761076639140514,1.7713916463525659,0.001,0.46420454437082465,1.868624960969795
16,0.493550194430505,1.7035656117082512,0.001,0.44772726956077596,2.0185732063922015
17,0.49649466876728243,1.6557779562185804,0.001,0.45113636143505575,1.9109305740757423
18,0.5126191786982942,1.624428836769825,0.001,0.4704545432024381,1.8187849960543894
19,0.5318283765246142,1.5671108437600727,0.001,0.3136363641104915,2.766169464317235
20,0.5534211974288062,1.5028343909052873,0.001,0.474431816319173,1.9389732925729317
21,0.5660403791399264,1.4580450854606328,0.001,0.5289772698486394,1.721833026883277
22,0.575014019331702,1.426304346680708,0.001,0.449999997053634,2.1246106258847495
23,0.5928210855717079,1.3848695664745465,0.001,0.5482954514636235,1.6193296619436957
24,0.605580479274355,1.3251951797852273,0.001,0.5249999968843027,1.7468505989421497
25,0.6132922032101062,1.2928121335307199,0.001,0.5528409061445432,1.623563059487126
26,0.6320807613219295,1.2491469521136078,0.001,0.48636363367126745,1.947948063368147
27,0.6437184510693013,1.2301575010804333,0.001,0.5028409083289179,1.847504040192474
28,0.6643297802228575,1.1438579131262527,0.001,0.45624999683350326,2.008347516981038
29,0.7027481754576297,1.0282345705499023,0.000100000005,0.6403409099036997,1.3301104522564196
