epoch,acc,loss,lr,val_acc,val_loss
0,0.3732761254832674,1.9694733630650036,1e-04,0.42364531825181884,1.7642523123712963
1,0.5285524549365154,1.4899126217111722,1e-04,0.48457424601916177,1.533479127899603
2,0.6031259564654871,1.2563092375035452,1e-04,0.49362401873890827,1.5754554541892645
3,0.6438859939538661,1.0990405012923372,1e-04,0.5043192093924503,1.49906961636404
4,0.6831136983923484,0.9828025284187581,1e-04,0.5582064988558207,1.4773375644746605
5,0.7142711204873101,0.8821269961229834,1e-04,0.5438091315785734,1.3870357375044924
6,0.7409337011174194,0.8124178576389047,1e-04,0.5742492808488012,1.385471951760465
7,0.7634079068159348,0.7316876036639306,1e-04,0.5470999560572885,1.4151659428656518
8,0.7811829600274253,0.6595135187302635,1e-04,0.5635540891164421,1.3627593719336488
9,0.7988558597554468,0.601829243823315,1e-04,0.5919374722798927,1.3709093721155177
10,0.825314128797112,0.5342522441537111,1e-04,0.5972850659118175,1.381649287234408
11,0.8346102775842034,0.49297927114501744,1e-04,0.5536816109359534,1.5107725522293567
12,0.8516702434785008,0.44915139435388324,1e-04,0.6116824320121735,1.3415297278647853
13,0.8663806333119541,0.38779098795366695,1e-04,0.5882352935782386,1.4554574417263724
14,0.8761875600198131,0.36001665205439287,1e-04,0.5742492785869632,1.5869432645097086
15,0.897538055918387,0.3157885214607846,1e-04,0.6129164939086558,1.390252127256574
16,0.9046889387351985,0.284697396344489,1e-04,0.5890579998542231,1.500968087509011
17,0.9165389753359795,0.2527727076365352,1e-04,0.5808309316880318,1.780722316279425
18,0.9712943144455447,0.10300069878724384,1e-05,0.6408885202992359,1.4820061560056672
19,0.9812033947099399,0.07230194836727638,1e-05,0.6384204023049134,1.5776803193882825
20,0.9822249498756027,0.0627441379466627,1e-05,0.6491155895074666,1.607909948651264
21,0.9830421932884202,0.059921676687357664,1e-05,0.6330728080968021,1.6976234739526022
22,0.9862090127438151,0.0529436654941565,1e-05,0.6556972420936452,1.6647941047936397
23,0.9863111684193028,0.04821775660298107,1e-06,0.6371863440249202,1.7635011067548831
24,0.988149966705514,0.04338494578084643,1e-06,0.6343068684486144,1.7948899898365454
25,0.9889672099173964,0.04348874197794533,1e-06,0.6375976956611501,1.785890796629797
26,0.9898866097546413,0.03982390593610352,1e-06,0.6281365671308872,1.7771615360632496
27,0.9882521220887325,0.044291568352745794,1e-06,0.6412998749389908,1.7535819354639872
28,0.9887628991509595,0.042786755445329804,1e-07,0.6338955144586018,1.735065998412218
29,0.987843500409724,0.04018265064442193,1e-07,0.6380090486213829,1.7717772484781908
