epoch,acc,loss,lr,val_acc,val_loss
0,0.43252630355056354,1.9374721704580065,1e-04,0.4519704404135643,1.8538657491430273
1,0.5953621390477448,1.4551027522217157,1e-04,0.49485808023696376,1.6768735517253115
2,0.6333639782939335,1.3120357175929904,1e-04,0.5401069503637657,1.583296277061111
3,0.674226171649602,1.1684512364290771,1e-04,0.4944467267618411,1.7222851522662226
4,0.7131474099566957,1.0268230463805974,1e-04,0.5433977761051871,1.5146853138712981
5,0.7327612614726641,0.9487213397862683,1e-04,0.5627313842993124,1.492427918019485
6,0.7600367760278314,0.8517792078932114,1e-04,0.5647881501670337,1.5429531412328628
7,0.7776075186555531,0.7672539525261475,1e-04,0.5631427369469333,1.4681041181357197
8,0.802737767514443,0.6962466863923886,1e-04,0.5413410105071701,1.5426706603553157
9,0.8157115135315625,0.6444048446369361,1e-04,0.6030440144899792,1.3673767350378079
10,0.8259270615348266,0.6011342669497813,1e-04,0.5758946922667867,1.524066342438557
11,0.8437021156596582,0.5377320832373941,1e-04,0.566433564692748,1.509027292972629
12,0.8598426825935184,0.4848204043528583,1e-04,0.6013985980885944,1.4209987883801227
13,0.863928902014026,0.46009063416103846,1e-04,0.5878239376757773,1.4572628104407226
14,0.8759832487236383,0.4284486392415304,1e-04,0.6351295749452662,1.252564389683101
15,0.8902850160926097,0.38399397296396603,1e-04,0.6001645395756748,1.5057592177675467
16,0.8940647696739977,0.3639450190515194,1e-04,0.5952282996395398,1.5649843932865384
17,0.893860459711301,0.3556906499363621,1e-04,0.5931715330730393,1.597457997644943
18,0.9059148054710385,0.32669772855980866,1e-04,0.5438091291880127,1.7340447089888833
19,0.9112268918831218,0.30262885047702237,1e-04,0.5931715334408179,1.5337629454805741
20,0.946572688745276,0.20158740903222044,1e-05,0.6840806257719858,1.1176127998341459
21,0.960874455621043,0.15360659582256686,1e-05,0.6783216790327169,1.156660604334721
22,0.9664930067945031,0.13947099337535257,1e-05,0.6853146851675739,1.1265436167311933
23,0.9735417335339569,0.11511923529726027,1e-05,0.6898395719963648,1.1483860052279218
24,0.9767085538478925,0.10806024228966185,1e-05,0.6902509272368246,1.156542243167041
25,0.9785473524994401,0.09459543769874895,1e-05,0.6779103234244785,1.138295759712409
26,0.9812033948743413,0.09249948416678153,1e-06,0.6857260384220294,1.1438974745783086
27,0.9799775283029026,0.08949804057144804,1e-06,0.6799670890347549,1.1515097823568647
28,0.9807947725377272,0.09391488036905152,1e-06,0.6894282164616822,1.13798302464748
29,0.9807947730309313,0.08686183686869078,1e-06,0.6779103249691485,1.176358616974853
